Name,Sector
Belioness,NGO
Caye Caulker BTIA,NGO
Cooperative,Cooperative
Cooperative Belize City,Cooperative
Cooperative Northern,Cooperative
Customer 1,Customer
Customer 2,Customer
Customer 3,Customer
Customer 4,Customer
Customer 5,Customer
Customer 6,Customer
Fish market,Retailer
Fisher,Fisher
Fisher 1,Fisher
Fisher 11,Fisher
Fisher 13,Fisher
Fisher 14,Fisher
Fisher 15,Fisher
Fisher 2,Fisher
Fisher 3,Fisher
Fisher 4,Fisher
Fisher 5,Fisher
Fisher 6,Fisher
Fisher 8,Fisher
Fisher 9,Fisher
Fragments of Hope,NGO
Local markets,Retailer
Restaurant 1,Retailer
Restaurant 2,Retailer
Restaurants,Retailer
Supermarkets,Retailer
Tourist,Customer
Wholesaler,Wholesaler
wwf,NGO
